,lda15_ch1,lda12_ch1,lda15_ch2,lda12_ch2,lda15_ch3,lda12_ch3,lda15_ch4,lda12_ch4,lda15_ch5,lda12_ch5,lda15_ch6,lda12_ch6,lda15_ch7,lda12_ch7,lda15_ch8,lda12_ch8,lda15_ch9,lda12_ch9,lda15_ch10,lda12_ch10,lda15_ch11,lda12_ch11,lda15_ch12,lda12_ch12,lda15_ch13,lda12_ch13,lda15_ch14,lda12_ch14,lda15_ch15,lda12_ch15,lda15_ch16,lda12_ch16,lda15_ch17,lda12_ch17,lda15_ch18,lda12_ch18,lda15_ch19,lda12_ch19,lda15_ch20,lda12_ch20,lda15_ch21,lda12_ch21,lda15_ch22,lda12_ch22,lda15_chX,lda12_chX
0,-82.3357484379923,-79.55982236448011,-87.16179557673023,-84.89819680027327,-70.99939920475197,-69.0973509448821,-74.37056839324482,-72.0399577607484,-64.31814260176938,-63.81724223739262,-41.69988105384201,-40.6465272050534,-69.23379260027556,-68.4138272027028,-44.265561402435885,-43.0841409201625,-48.56375372676837,-47.194736558997825,-58.61433956098778,-57.044703112556455,-63.365893676451506,-62.238585990930886,-44.72542798419813,-43.55263557626485,-33.15922945643332,-32.294323929919926,-45.93812882767383,-45.344802235298395,-29.18975506066852,-28.68676308686172,-25.949241232380558,-25.44941908690776,-20.766756704889392,-20.633296511115585,-23.5118046996702,-23.29013491314767,-19.26945040629722,-18.82357449622294,-22.80799973817768,-22.56615539044797,-11.941853094985182,-11.916673164373883,-2.5131035485576936,-2.528484771674179,-77.03265548130031,-76.73115042040392
1,-82.37840922110766,-79.552663428051,-87.24484437879121,-84.8436583385087,-71.02875269154674,-69.07259370647053,-74.29938553224683,-72.13206687636873,-64.42168865014585,-63.88965900291478,-41.7210585517602,-40.49637809769155,-69.39840802265344,-68.35473807319461,-44.21569516519273,-43.174700780577126,-48.59555651502733,-47.28511642904327,-58.60422854031599,-57.10569663469849,-63.423249835176776,-62.28617519445784,-44.7403294420743,-43.53928089732242,-33.24584603801233,-32.35723275362017,-45.86804402929431,-45.353902108030255,-29.182096672015348,-28.68051124192546,-26.019422790315282,-25.392458114235406,-20.834127379646787,-20.685364026559654,-23.630691090510936,-23.27957733527674,-19.19003877514498,-18.799364661888433,-22.77592651154187,-22.56612960591877,-11.992501965250208,-11.94654333962715,-2.5037153076932657,-2.5171389607517316,-77.16409429974502,-76.80312641848201
2,-82.46169710113028,-79.90937268904527,-87.18759973419236,-84.87302900017276,-70.88803550462943,-69.14484846877278,-74.10926684001102,-72.36469746761318,-64.32564346636106,-63.878618981392385,-41.66372060518633,-40.436019589274366,-69.32242234391035,-68.36322127695045,-44.21404323442888,-43.11216458710497,-48.67238601968265,-47.17032688682706,-58.61575900500879,-57.18333571441551,-63.3337501996648,-62.24245791441237,-44.642919818918955,-43.536069848423246,-33.21964167417915,-32.291176849053834,-45.8423671550366,-45.41230985028335,-29.21391402762558,-28.75157799201407,-25.962907803233787,-25.4183691183908,-20.752430899567713,-20.748002861191257,-23.586787836159644,-23.26028584425954,-19.224513718696482,-18.880390046394197,-22.59052541219513,-22.569189588869808,-11.975820708669822,-11.935451290977843,-2.5077073320562793,-2.52630174692284,-77.07881674723095,-76.76948749760801
3,-82.55225164060226,-79.88059359590449,-87.22180034640618,-84.86483142444784,-71.0959519098922,-69.12240400563277,-74.31487769360477,-71.84615990130439,-64.41506354142405,-63.79224436266084,-41.58009326027015,-40.59379740144677,-69.33095774550695,-68.42183268480731,-44.2420682849757,-43.08978280779444,-48.60271718346231,-47.16862186309532,-58.658109299264424,-57.152401132886666,-63.37289237930929,-62.27618344931806,-44.589252923693245,-43.513787229240144,-33.272271299323734,-32.33545289370903,-45.91989767463201,-45.36149164477465,-29.198807017385537,-28.736570938281798,-25.92934273655201,-25.46351970524638,-20.88530764116348,-20.660989164570044,-23.530315019315143,-23.22517943797687,-19.26808061465665,-18.830124692623087,-22.769051246389,-22.502687970852367,-11.95521772684302,-11.912807785092342,-2.51282109846997,-2.5412746941511033,-77.13634775673634,-76.92417033655974
4,-82.22822131953737,-79.79525171991925,-87.23835136278767,-84.88272524583468,-70.97863854778882,-69.13184323212711,-74.41318235418527,-71.99240783301778,-64.30941556355327,-63.94293816703072,-41.68734594531605,-40.60613551144874,-69.37045066691711,-68.46664711826683,-44.23524125463543,-43.170748521185416,-48.69796780193532,-47.127809777087236,-58.58248220995698,-57.107470789712345,-63.48220086705235,-62.333765021303556,-44.69410738352728,-43.60443389991525,-33.15980116084653,-32.40103669686861,-45.958203598521344,-45.36659687898545,-29.143636351332518,-28.66688483842673,-26.00002086113931,-25.476035137754756,-20.849532968041544,-20.663049538795175,-23.556837114861274,-23.26766632492642,-19.196236494906064,-18.826794827368555,-22.812992089829084,-22.557140352567117,-11.962205369624,-11.981962556353624,-2.5141199322566554,-2.522758324450395,-77.08379805766252,-76.86484259459567
5,-82.62351933198474,-79.84175192888641,-87.1957850098267,-84.79918980154935,-70.96412162538941,-69.08743780554414,-74.24271050558856,-71.96152713755643,-64.20474824190444,-63.940919756930604,-41.799242673573126,-40.55146965280731,-69.22286882085913,-68.33655346330049,-44.21924901937478,-43.11991258241377,-48.66416993933318,-47.12656607588964,-58.689984772126486,-57.178543833685175,-63.41661051865869,-62.280273605246606,-44.75429785689108,-43.509300148144675,-33.16083578359538,-32.31139347998928,-45.86582515724428,-45.433965738758346,-29.22154055854564,-28.733953809594766,-25.94716864368096,-25.459656949025085,-20.75931124766538,-20.670381213867334,-23.599091910035053,-23.244664904949193,-19.171606617708544,-18.805046747089083,-22.712211017244265,-22.46351428190414,-11.942315115648741,-11.94571040449909,-2.510914650861435,-2.5338573024589843,-77.04044781013202,-76.8013410441097
6,-82.49184849017269,-80.04054159634828,-87.14172218022298,-84.94005652999938,-71.01993077644019,-69.16587679890714,-74.43172318003967,-71.79323151701837,-64.2651528585147,-63.878835467741176,-41.65372228542075,-40.425926030594354,-69.33722029446558,-68.37583539125164,-44.25441841678102,-43.115539785121136,-48.624693313700895,-47.17395467837274,-58.701503434285094,-57.16846346282036,-63.44742405721434,-62.28909005988571,-44.698779804827446,-43.51636286387824,-33.28711132416798,-32.3076527580523,-45.89770425647607,-45.436740771725965,-29.26365946933588,-28.747740433207433,-25.98597708193996,-25.51083284406831,-20.77616603597045,-20.717618702502104,-23.566144444295862,-23.245799033087863,-19.229211679359754,-18.78725265733879,-22.783289210823888,-22.503859900472026,-11.96710669322656,-11.946612348871357,-2.505644827811124,-2.5114263952836513,-77.1397411013979,-76.78226544044433
7,-82.24152282582446,-80.00490473606104,-87.11218342417664,-84.90103563863076,-70.92187560631137,-69.13532094237699,-74.46780940157461,-72.08110299101907,-64.32327877045256,-63.86970045151594,-41.78099357694308,-40.42071488835049,-69.23863300988785,-68.35433712450013,-44.31749879603962,-43.13978123433557,-48.597971597957276,-47.133470398056986,-58.64649459970606,-57.081799469846324,-63.4790173344023,-62.25258547056822,-44.61355138739744,-43.62434802732694,-33.19534381992824,-32.30557789333862,-45.82506992485849,-45.38933833708375,-29.203207220461632,-28.751204065477868,-25.982138096575483,-25.506818671999994,-20.763171859200394,-20.702519564683648,-23.60961388046372,-23.243590363275853,-19.221982549899987,-18.87161715608132,-22.775583924674233,-22.620267706723602,-11.945284885717864,-11.925893824106685,-2.5053783476634868,-2.5129844911730066,-77.22778445063445,-76.89276385776935
8,-82.65455892926718,-79.99385515219466,-87.0369447269028,-84.76102599771815,-71.11448027826052,-69.16605231765323,-74.17946398960163,-72.05364808033148,-64.2573179702712,-63.89357023651614,-41.73391361830109,-40.66551498863217,-69.24630690927154,-68.47672947230842,-44.18764018136872,-43.115483810880534,-48.62525726731326,-47.15724153368573,-58.65445916772414,-57.088658480279705,-63.36862336493659,-62.222155210506195,-44.70829193668456,-43.57009415419614,-33.19070711419157,-32.196158034136225,-45.938236246721154,-45.45544663366748,-29.107531804691448,-28.673531533805843,-25.951172280701023,-25.555442986800124,-20.85196689104123,-20.677822959485873,-23.54474103447469,-23.253705828930677,-19.23372784763371,-18.812510407633848,-22.764359010229605,-22.560418125786605,-11.962802866246033,-11.927670119012937,-2.5039946386405507,-2.5107499836831275,-77.10241340661915,-76.88106326513866
9,-82.1775301586536,-79.8868807875547,-87.2162367257739,-84.91120490819898,-71.0256878132454,-69.091440189338,-74.27368826646628,-71.84094750294032,-64.35245645678773,-63.82812762943911,-41.83534843129526,-40.492083006456625,-69.3279401920305,-68.46120849774631,-44.27697096277085,-43.13401591186314,-48.60675346589886,-47.21433798074764,-58.60035662855621,-57.088815676554276,-63.386707703875196,-62.376543227405335,-44.75147897027715,-43.4909090998399,-33.2067101285614,-32.27950385111201,-45.90610051503894,-45.44973322474904,-29.16473924888723,-28.686916589366938,-26.034475909709226,-25.480914176641136,-20.775421307713145,-20.70851532385676,-23.625335037469227,-23.28907203012373,-19.255099454182325,-18.763818532817183,-22.748654025497615,-22.546367454140785,-11.970801892920301,-11.910637021885766,-2.514993787508723,-2.5133350107368506,-77.12200754454683,-76.78182576233883
