,mmm__ch1,mmm__ch2,mmm__ch3,mmm__ch4,mmm__ch5,mmm__ch6,mmm__ch7,mmm__ch8,mmm__ch9,mmm__ch10,mmm__ch11,mmm__ch12,mmm__ch13,mmm__ch14,mmm__ch15,mmm__ch16,mmm__ch17,mmm__ch18,mmm__ch19,mmm__ch20,mmm__ch21,mmm__ch22,mmm__chX
0,-97.74952660714358,1,-74.05055110718124,-86.93914140751876,1,-47.25434546587328,-71.82616077864887,-46.90281950325968,1,-59.59297511512434,-64.50832556884198,-50.17414802601407,-35.42987611337968,-44.35791952983089,-31.904163174193446,1,1,1,-18.5326911846196,1,-13.717041656096027,-3.2006458252455126,1
1,1,-108.40257249651061,-72.72419395726057,-85.5873657120167,1,1,-71.46733872468342,-48.43069726207412,-51.97096163392275,-60.67733944651107,-64.62431774643876,-48.93970170828972,-35.3553447646337,-42.87565138606623,-30.258212883353153,1,-20.397012207820048,1,1,1,1,-3.2110164980014337,-72.90155016669634
2,1,-109.1711688187432,1,1,-69.00977992455591,1,1,-48.60749417522675,1,-58.738690077927124,-63.99395275001673,1,-34.88922503682608,-43.64168829629325,-30.15391154514962,-29.00425423129442,-19.83949465360737,1,-18.18600733270374,-24.17357028275976,-13.677969518352434,1,-73.35570519134723
3,-98.98710808319616,1,1,-85.76879923183489,1,-46.61128049956439,-70.32440756997599,-48.61487630999561,-53.60431793203089,-60.00885163696436,-64.57337198777923,1,-36.22375907901393,-43.130878885778564,-30.965400895957618,1,-20.246722272926633,-23.530866920542945,-19.09457944632596,1,1,-3.1558179176497188,-71.45608271784566
4,1,-107.84588539974689,-73.70622570639489,-86.28942811400003,-68.86759178307004,-48.82345497077905,1,-47.4474037862027,1,1,1,-49.42931139005635,-34.94406217263392,-43.26490210845863,1,-28.120540073693405,1,-23.5860238299732,1,-23.850857734310328,1,-3.0796825815301845,-72.50601402726005
5,-98.17927047817156,1,-70.90356577128694,1,-70.38070981559108,-45.53915440489395,-70.0653758748134,-47.316261525594705,1,1,1,-49.722093063958965,1,-43.707843914211495,-31.151026877179667,-28.082883616275282,-20.377415850985756,-24.631449741615665,1,-23.593690194208456,1,1,-72.25853348216681
6,-98.196858276802,-108.37469677370241,-72.30310597807362,1,-69.59579712239324,1,-72.03716964053673,1,-52.0589272723001,-60.86461712477487,1,-50.22777691337587,1,-42.805139260853856,1,-28.679030887700446,-20.409380089242784,-23.879819180987965,-18.919071334020263,-22.875630208778368,-14.100915326251489,-2.820980094247152,-72.17260351807042
7,-100.33614006731025,-106.64292690923453,-71.39718420808424,-85.07674816912615,-68.87171153537311,1,1,-47.807065610781216,-52.3899233214083,1,-63.45986376272012,-50.13566076362587,-35.99380794850232,-43.77391389180444,-31.92940045231456,-27.599764687491394,-20.544327739270514,-23.13921088653532,-19.351050951745957,-23.247293016350234,-13.566516686177934,-3.139862347071633,1
8,1,1,-73.95527650290354,-84.41725869448447,-68.88236213670899,-48.61856442393969,-71.54895211253171,-48.80923074624863,-51.52339583850511,-59.93555087319485,-65.01293760942443,-49.807222437966985,-35.33944379702751,-43.02273134820259,1,-28.941583409283584,1,-23.38764232559393,-18.863435281807693,1,-13.899319830039884,1,-72.4427743449424
9,-100.13942781900444,-106.54752574618715,-71.31103609141284,-85.82664566496096,-68.84604202887326,-47.331371533889396,1,-47.87687088155249,1,1,-64.50422950891229,-49.73983919091943,-36.067291869721814,1,-30.738852018457877,-28.393915975615656,-20.08436918328664,-23.222135874186097,1,-23.45907018873426,-13.498359943944411,-2.9051570350067855,-73.26082181998036
